joueuse_1,joueuse_2,surface,cote_1,cote_2,niveau,tournoi
Katie Boulter,Katie Volynets,dur,2.06,1.76,I,Cincinnati WTA
Caty Mcnally,Mccartney Kessler,dur,1.76,2.06,I,Cincinnati WTA
Jessica Bouzas Maneiro,Anna Bondar,dur,1.59,2.35,I,Cincinnati WTA
Daria Snigur,Yuliia Starodubtseva,dur,1.51,2.55,I,Cincinnati WTA
Elisabetta Cocciaretto,Lucrezia Stefanini,dur,1.4,2.91,I,Cincinnati WTA
Nikola Bartunkova,Alina Charaeva,dur,1.39,2.96,I,Cincinnati WTA
Maya Joint,Tamara Korpatsch,dur,1.37,3.08,I,Cincinnati WTA
Lilli Tagger,Talia Gibson,dur,1.57,2.37,I,Cincinnati WTA
Mananchaya Sawangkaew,Anna Blinkova,dur,1.88,1.9,I,Cincinnati WTA
Peyton Stearns,Harriet Dart,dur,1.4,2.92,I,Cincinnati WTA
Emiliana Arango,Venus Williams,dur,1.44,2.76,I,Cincinnati WTA
Elvina Kalieva,Oleksandra Oliynykova,dur,1.46,2.71,I,Cincinnati WTA
Alycia Parks,Viktorija Golubic,dur,2.45,1.55,I,Cincinnati WTA
Yulia Putintseva,Liudmila Samsonova,dur,3.18,1.35,I,Cincinnati WTA
Mary Stoiana,Tereza Valentova,dur,2.96,1.39,I,Cincinnati WTA
