joueuse_1,joueuse_2,surface,cote_1,cote_2,niveau,tournoi
Iga Swiatek,Diana Shnaider,dur,1.32,3.39,I,Toronto WTA
Elina Svitolina,Ekaterina Alexandrova,dur,1.35,3.16,I,Toronto WTA
Lilli Tagger,Lin Zhu,dur,1.44,2.58,I,Cincinnati WTA
Robin Montgomery,Julia Grabher,dur,1.33,2.96,I,Cincinnati WTA
Renata Zarazua,Yue Yuan,dur,1.62,2.16,I,Cincinnati WTA
Kayla Day,Taylah Preston,dur,1.94,1.74,I,Cincinnati WTA
Lanlana Tararudee,Emerson Jones,dur,1.51,2.39,I,Cincinnati WTA
Victoria Jimenez Kasintseva,Mananchaya Sawangkaew,dur,2.54,1.43,I,Cincinnati WTA
Sinja Kraus,Marina Bassols Ribera,dur,1.52,2.36,I,Cincinnati WTA
Polina Iatcenko,Claire Liu,dur,2.54,1.41,I,Cincinnati WTA
Anastasia Zakharova,Lucrezia Stefanini,dur,1.4,2.72,I,Cincinnati WTA
Himeno Sakatsume,Leolia Jeanjean,dur,2.64,1.37,I,Cincinnati WTA
Oksana Selekhmeteva,Elizabeth Mandlik,dur,1.57,2.25,I,Cincinnati WTA
Mary Stoiana,Veronika Erjavec,dur,1.65,2.13,I,Cincinnati WTA
Alina Korneeva,Varvara Lepchenko,dur,1.19,4.11,I,Cincinnati WTA
Rebecca Marino,Alina Charaeva,dur,2.64,1.37,I,Cincinnati WTA
Hanne Vandewinkel,Akasha Urhobo,dur,1.36,2.64,I,Cincinnati WTA
Rebecca Sramkova,Elsa Jacquemot,dur,1.46,2.53,I,Cincinnati WTA
Eva Lys,Katarzyna Kawa,dur,1.41,2.57,I,Cincinnati WTA
Dominika Salkova,Anna Blinkova,dur,1.77,1.86,I,Cincinnati WTA
Solana Sierra,Aoi Ito,dur,1.21,3.83,I,Cincinnati WTA
Harriet Dart,Moyuka Uchijima,dur,2.44,1.49,I,Cincinnati WTA
Carol Young Suh Lee,Polina Kudermetova,dur,1.63,2.19,I,Cincinnati WTA
Emiliana Arango,Aliaksandra Sasnovich,dur,2.22,1.56,I,Cincinnati WTA
Nadia Podoroska,Ella Seidel,dur,2.77,1.37,I,Cincinnati WTA
