domicile,exterieur,buts_dom,buts_ext
PSG,Marseille,3,1
PSG,Lyon,2,0
PSG,Monaco,2,2
PSG,Lille,4,1
PSG,Rennes,3,0
PSG,Nice,1,0
PSG,Lens,2,1
Marseille,PSG,1,2
Marseille,Lyon,2,1
Marseille,Monaco,1,1
Marseille,Lille,2,0
Marseille,Rennes,3,1
Marseille,Nice,1,0
Marseille,Lens,2,2
Lyon,PSG,1,3
Lyon,Marseille,1,1
Lyon,Monaco,2,2
Lyon,Lille,2,1
Lyon,Rennes,1,0
Lyon,Nice,3,1
Lyon,Lens,1,1
Monaco,PSG,1,2
Monaco,Marseille,2,1
Monaco,Lyon,3,1
Monaco,Lille,2,0
Monaco,Rennes,2,1
Monaco,Nice,4,2
Monaco,Lens,1,0
Lille,PSG,0,2
Lille,Marseille,1,1
Lille,Lyon,0,0
Lille,Monaco,1,2
Lille,Rennes,2,1
Lille,Nice,1,0
Lille,Lens,1,1
Rennes,PSG,1,4
Rennes,Marseille,0,1
Rennes,Lyon,2,2
Rennes,Monaco,1,3
Rennes,Lille,1,0
Rennes,Nice,2,0
Rennes,Lens,1,2
Nice,PSG,0,1
Nice,Marseille,1,2
Nice,Lyon,1,1
Nice,Monaco,0,2
Nice,Lille,2,1
Nice,Rennes,1,1
Nice,Lens,0,0
Lens,PSG,1,1
Lens,Marseille,2,1
Lens,Lyon,2,0
Lens,Monaco,1,2
Lens,Lille,3,1
Lens,Rennes,2,0
Lens,Nice,1,0
