date,gagnante,perdante,surface
2025-01-10,Sabalenka,Ostapenko,dur
2025-01-12,Swiatek,Keys,dur
2025-01-14,Gauff,Vondrousova,dur
2025-01-16,Rybakina,Jabeur,dur
2025-01-18,Sabalenka,Pegula,dur
2025-01-20,Swiatek,Krejcikova,dur
2025-01-22,Gauff,Ostapenko,dur
2025-01-24,Sabalenka,Rybakina,dur
2025-01-26,Sabalenka,Swiatek,dur
2025-02-05,Rybakina,Keys,dur
2025-02-07,Pegula,Jabeur,dur
2025-02-09,Gauff,Krejcikova,dur
2025-02-11,Swiatek,Vondrousova,dur
2025-02-13,Rybakina,Pegula,dur
2025-02-15,Swiatek,Gauff,dur
2025-02-17,Sabalenka,Rybakina,dur
2025-03-05,Keys,Ostapenko,dur
2025-03-07,Gauff,Jabeur,dur
2025-03-09,Sabalenka,Vondrousova,dur
2025-03-11,Swiatek,Pegula,dur
2025-03-13,Gauff,Sabalenka,dur
2025-03-15,Gauff,Rybakina,dur
2025-04-08,Swiatek,Ostapenko,terre
2025-04-10,Sabalenka,Keys,terre
2025-04-12,Swiatek,Jabeur,terre
2025-04-14,Krejcikova,Pegula,terre
2025-04-16,Swiatek,Sabalenka,terre
2025-04-18,Gauff,Vondrousova,terre
2025-04-20,Swiatek,Gauff,terre
2025-05-06,Swiatek,Krejcikova,terre
2025-05-08,Sabalenka,Jabeur,terre
2025-05-10,Gauff,Keys,terre
2025-05-12,Ostapenko,Vondrousova,terre
2025-05-14,Swiatek,Rybakina,terre
2025-05-16,Sabalenka,Gauff,terre
2025-05-18,Swiatek,Sabalenka,terre
2025-06-01,Swiatek,Pegula,terre
2025-06-03,Gauff,Krejcikova,terre
2025-06-05,Sabalenka,Ostapenko,terre
2025-06-07,Swiatek,Gauff,terre
2025-06-20,Rybakina,Pegula,gazon
2025-06-22,Vondrousova,Jabeur,gazon
2025-06-24,Rybakina,Krejcikova,gazon
2025-06-26,Keys,Ostapenko,gazon
2025-06-28,Rybakina,Sabalenka,gazon
2025-07-02,Vondrousova,Gauff,gazon
2025-07-04,Rybakina,Swiatek,gazon
2025-07-06,Rybakina,Vondrousova,gazon
2025-08-05,Sabalenka,Krejcikova,dur
2025-08-07,Gauff,Pegula,dur
2025-08-09,Swiatek,Keys,dur
2025-08-11,Sabalenka,Jabeur,dur
2025-08-13,Gauff,Rybakina,dur
2025-08-15,Sabalenka,Gauff,dur
2025-09-02,Pegula,Ostapenko,dur
2025-09-04,Swiatek,Vondrousova,dur
2025-09-06,Sabalenka,Keys,dur
2025-09-08,Gauff,Jabeur,dur
2025-09-10,Swiatek,Rybakina,dur
2025-09-12,Sabalenka,Swiatek,dur
2025-10-06,Rybakina,Gauff,dur
2025-10-08,Swiatek,Pegula,dur
2025-10-10,Sabalenka,Vondrousova,dur
2025-10-12,Swiatek,Sabalenka,dur
2026-01-08,Sabalenka,Krejcikova,dur
2026-01-10,Gauff,Keys,dur
2026-01-12,Swiatek,Ostapenko,dur
2026-01-14,Rybakina,Jabeur,dur
2026-01-16,Sabalenka,Gauff,dur
2026-01-18,Swiatek,Rybakina,dur
2026-01-20,Sabalenka,Swiatek,dur
2026-04-06,Swiatek,Keys,terre
2026-04-08,Gauff,Ostapenko,terre
2026-04-10,Swiatek,Vondrousova,terre
2026-04-12,Sabalenka,Pegula,terre
2026-04-14,Swiatek,Gauff,terre
2026-05-04,Krejcikova,Jabeur,terre
2026-05-06,Gauff,Rybakina,terre
2026-05-08,Swiatek,Sabalenka,terre
2026-06-02,Swiatek,Ostapenko,terre
2026-06-04,Gauff,Pegula,terre
2026-06-06,Sabalenka,Keys,terre
2026-06-08,Swiatek,Sabalenka,terre
